word,count,seed
řešení,18,krize
musíme,18,krize
řešit,11,krize
premiér,11,krize
ekonomiky,10,krize
krizi,9,krize
politici,9,krize
vláda,9,krize
lidí,9,krize
mezinárodní,8,krize
celé,8,krize
ještě,8,krize
zároveň,7,krize
future,7,krize
všude,7,krize
problém,7,krize
můžeme,7,krize
téma,7,krize
tady,7,krize
planety,7,krize
máme,7,krize
usnesení,7,krize
komunikovat,7,krize
problémy,7,krize
příležitost,7,krize
fridays,6,krize
měly,6,krize
nejen,6,krize
prohráváme,6,krize
popírání,6,krize
vlády,6,krize
letos,6,krize
krize,6,krize
pomoc,6,krize
celosvětový,6,krize
společnosti,6,krize
lidi,6,krize
konzervativní,6,krize
selhala,6,krize
otázce,6,krize
národní,6,krize
zdravotní,6,krize
služby,6,krize
brexitu,6,krize
přijal,6,krize
škola,6,krize
iniciativní,6,krize
univerzita,6,krize
začala,6,krize
směrem,6,krize
