year,type_final,n_mentions
2012,M1,632
2012,M2,11
2012,M3,138
2012,M5,266
2012,M6,89
2013,M1,1406
2013,M2,47
2013,M3,569
2013,M4,12
2013,M5,369
2013,M6,297
2014,M1,1222
2014,M2,20
2014,M3,172
2014,M5,394
2014,M6,454
2015,M1,2594
2015,M2,136
2015,M3,440
2015,M5,654
2015,M6,1060
2016,M1,2017
2016,M2,54
2016,M3,304
2016,M5,312
2016,M6,870
2017,M1,2822
2017,M2,53
2017,M3,398
2017,M5,451
2017,M6,1319
2018,M1,3014
2018,M2,111
2018,M3,563
2018,M4,71
2018,M5,601
2018,M6,778
2019,M1,6483
2019,M2,267
2019,M3,1033
2019,M4,4
2019,M5,1364
2019,M6,2486
2020,M1,3254
2020,M2,123
2020,M3,508
2020,M5,530
2020,M6,1488
2021,M1,6113
2021,M2,260
2021,M3,570
2021,M5,1039
2021,M6,3255
2022,M1,1477
2022,M2,61
2022,M3,176
2022,M5,260
2022,M6,701
