topic,terms
0,"jako, třeba, toho, myslím, tomu, velmi, možná, opravdu, jestli, něco, znamená, máme, úplně, pane, skutečně, lidé, lidí, nějaké, způsobem, určitě"
1,"mluvčí, ukrajině, beey, ukrajiny, ruské, ukrajinu, rusko, další, mluvčí mluvčí, ukrajinské, jako, české, toho, mají, velmi, děti, před, třeba, ruská, lidí"
2,"konference, změnách, klimatických změnách, klimatických, paříži, summit, změnách klimatu, dohody, ministr zahraničí, zahraničí, klimatu, francouzský, klimatická konference, začíná, zemí, konferenci, jednání, ministr, ekonomik, setkání"
3,"strany, předseda, místopředseda, předseda strany, koalice, výboru, čssd, místopředseda strany, hnutí, ministr, sněmovny, klubu, jurečka, stan, poslaneckého, poslaneckého klubu, marian jurečka, marian, vlády, ksčm"
4,"životního prostředí, životního, prostředí, ministr životního, brabec, brabec ministr, ministr, místopředseda hnutí, prostředí místopředseda, opatření, hnutí, bedřich, otázky životního, moldan, bedřich moldan, místopředseda, otázky, česká republika, dneska, republika"
5,"trump, donald trump, donald, prezident, trumpa, americký, dohody, americký prezident, donalda trumpa, donalda, pařížské, prezidenta, státy, prezident donald, trump americký, spojené státy, spojené, pařížské dohody, americké, bílého domu"
6,"guterres, generální tajemník, tajemník, generální, antónio, antónio guterres, yorku, guterres generální, klimatu, změnám, greta, thunbergová, klimatickým změnám, proti, aktivistka, greta thunbergová, klimatickým, summitu, proti klimatickým, vyzval"
7,"evropské, komise, unie, evropské unie, evropské komise, evropská, leyenová, bruselu, parlamentu, evropské rady, evropského, ursula, rady, ursula leyenová, evropského parlamentu, summit, unii, předseda evropské, evropská unie, evropská komise"
8,"globální změny, výzkumu globální, výzkumu, ústav výzkumu, ústav, globální, změny, akademie, vědecký pracovník, změny akademie, pracovník, vědecký, klimatu, oxidu, uhličitého, oxidu uhličitého, vědci, akademie české, ústavu výzkumu, trnka"
9,"meteorolog, počasí, teploty, klimatolog, čhmú, stupňů, sněhu, třeba, opravdu, teplota, bouřky, celsia, znamená, možná, předpověď, toho, tolasz, srážek, stupně, michale"
10,"vody, vodu, voda, sucho, zemědělství, vodou, vodní, sucha, krajině, půdy, opatření, suchu, města, obce, povodí, zemědělci, vodních, nádrže, starosta, zemědělské"
11,"plynů, skleníkových plynů, skleníkových, emisí, emise, emisí skleníkových, státy, roku, snižování, oxidu, uhličitého, oxidu uhličitého, oteplování, uhlí, čína, snižování emisí, dohoda, dohody, klimatické, snížení"
12,"lesy, lesů, lesa, kůrovec, stromů, stromy, ředitel, české, zemědělství, lesníci, lesní, dřeva, republiky, české republiky, lesy české, lesích, kůrovcem, dříví, generální ředitel, lesního"
13,"vědci, antarktidě, ledu, expedice, vědců, antarktidy, druhů, ledovce, polární, změny, česká televize, vedoucí, stanice, moře, ledovců, televize, česká, tání, univerzita, oceánu"
14,"požáry, oheň, požárů, plameny, hasiči, lidí, úřady, hasičů, kalifornii, austrálii, požár, austrálie, řecku, hoří, pomoc, pobřeží, rozsáhlé, obyvatel, před, vítr"
15,"obama, barack, barack obama, prezident, americký prezident, americký, obama americký, obamy, spojené státy, proti, spojené, baracka, baracka obamy, státy, boji, plán, boji proti, američanů, změnám, ekonomiky"
16,"biden, prezident, americký, spojených, americký prezident, spojených států, bidena, bílého domu, bílého, prezident biden, domu, států, státy, prezidenta, zahraniční, spojené státy, spojené, číny, zahraničí, pandemie"
17,"babiš, andrej babiš, andrej, premiér, babiš premiér, premiér andrej, předseda hnutí, premiér předseda, předseda, hnutí, česko, summit, babiše, premiéra, andreje, andreje babiše, yorku, summitu, shromáždění, roku"
18,"univerzity, studenti, karlovy, univerzity karlovy, studentů, fakulty, ochranu, ochranu klimatu, univerzita, fakulta, klimatu, usnesení, klima, klimatické, krize, náměstí, akce, škola, senátu, karlova"
19,"johnson, británie, boris, boris johnson, britský, konzervativní, brexitu, britský premiér, premiér, corbyn, lídr, brexit, británii, před, dohodu, britská, unie, volby, mayová, strany"
